"Gmt.time","Open","High","Low","Close","Volume"
"12.01.2017 01:15:00.000",1.01404,1.01452,1.01383,1.01407,1416820011.1389
"12.01.2017 01:30:00.000",1.01407,1.01408,1.01318,1.01374,1887009994.5069
"12.01.2017 01:45:00.000",1.01377,1.01409,1.01349,1.01399,1517310001.3734
"12.01.2017 02:00:00.000",1.01401,1.01405,1.01256,1.01262,1441700004.5775
"12.01.2017 02:15:00.000",1.01262,1.01296,1.0122,1.01294,1534709980.0109
"12.01.2017 02:30:00.000",1.01294,1.01299,1.012,1.01213,1459150012.97
"12.01.2017 02:45:00.000",1.01213,1.01282,1.01168,1.01268,1434340000.1524
"12.01.2017 03:00:00.000",1.01266,1.01311,1.01263,1.01308,1022690006.2561
"12.01.2017 03:15:00.000",1.01309,1.01336,1.01252,1.01258,1019270006.1798
"12.01.2017 03:30:00.000",1.01259,1.01262,1.01221,1.0123,1180430011.7494
"12.01.2017 03:45:00.000",1.01231,1.01258,1.01168,1.0119,1696879993.4388
"12.01.2017 04:00:00.000",1.01189,1.01232,1.01148,1.01201,1410030010.2234
"12.01.2017 04:15:00.000",1.01201,1.01246,1.01195,1.01217,1391640016.5559
"12.01.2017 04:30:00.000",1.01217,1.01282,1.01213,1.01262,1515979988.0981
"12.01.2017 04:45:00.000",1.01262,1.01272,1.01227,1.01271,1129529983.5203
"12.01.2017 05:00:00.000",1.01275,1.01308,1.01251,1.01295,1323370014.1906
"12.01.2017 05:15:00.000",1.01295,1.01321,1.01291,1.01311,761430001.2591
"12.01.2017 05:30:00.000",1.01312,1.01313,1.01238,1.01239,1237929998.3979
"12.01.2017 05:45:00.000",1.01238,1.01257,1.0117,1.0117,870099996.5669
"12.01.2017 06:00:00.000",1.01168,1.0124,1.01156,1.0123,1454440010.0707
"12.01.2017 06:15:00.000",1.0123,1.01242,1.01156,1.01202,1284799987.7929
"12.01.2017 06:30:00.000",1.01202,1.01219,1.01074,1.01097,1447020000.4578
"12.01.2017 06:45:00.000",1.01093,1.01103,1.00983,1.00988,1970650016.7846
"12.01.2017 07:00:00.000",1.0099,1.01088,1.0099,1.0108,2710670005.7983
"12.01.2017 07:15:00.000",1.01082,1.01087,1.00962,1.00972,2044689987.1826
"12.01.2017 07:30:00.000",1.00971,1.01017,1.00943,1.00997,2083709999.0845
"12.01.2017 07:45:00.000",1.00998,1.00999,1.00943,1.00978,1273109996.7957
"12.01.2017 08:00:00.000",1.00978,1.00984,1.00781,1.0079,2339889991.7601
"12.01.2017 08:15:00.000",1.00789,1.00901,1.00788,1.00847,2363529975.8913
"12.01.2017 08:30:00.000",1.00848,1.00852,1.00682,1.0069,2988729957.5805
"12.01.2017 08:45:00.000",1.0069,1.00826,1.00601,1.00786,3213640014.6485
"12.01.2017 09:00:00.000",1.00788,1.009,1.00773,1.00814,2713989990.2345
"12.01.2017 09:15:00.000",1.00815,1.00865,1.00732,1.00802,2048889991.7602
"12.01.2017 09:30:00.000",1.008,1.00813,1.00693,1.00772,2358510002.1363
"12.01.2017 09:45:00.000",1.00772,1.00776,1.00676,1.00738,2101809982.2996
"12.01.2017 10:00:00.000",1.00738,1.00919,1.00711,1.00898,2122799987.7932
"12.01.2017 10:15:00.000",1.00901,1.00989,1.00882,1.00961,1820300014.496
"12.01.2017 10:30:00.000",1.00959,1.01038,1.00928,1.00954,1910949981.6895
"12.01.2017 10:45:00.000",1.00953,1.00957,1.00793,1.00796,1421169998.1691
"12.01.2017 11:00:00.000",1.00796,1.00805,1.00735,1.00783,1801089988.7082
"12.01.2017 11:15:00.000",1.00783,1.00867,1.00766,1.0078,1352679996.4904
"12.01.2017 11:30:00.000",1.00781,1.00837,1.00773,1.00776,1565999980.9265
"12.01.2017 11:45:00.000",1.00776,1.0081,1.00714,1.00728,1847799995.4223
"12.01.2017 12:00:00.000",1.00727,1.00749,1.00675,1.00745,2122119991.3024
"12.01.2017 12:15:00.000",1.00745,1.00745,1.00617,1.0066,1975340003.9673
"12.01.2017 12:30:00.000",1.0066,1.00721,1.00603,1.00617,2058929977.4169
"12.01.2017 12:45:00.000",1.00621,1.00656,1.00563,1.00632,2052400009.1552
"12.01.2017 13:00:00.000",1.00633,1.0066,1.00558,1.00582,2098079990.3871
"12.01.2017 13:15:00.000",1.00582,1.00767,1.00582,1.00697,2425780036.9263
"12.01.2017 13:30:00.000",1.00699,1.00801,1.0068,1.00796,3124279991.1499
"12.01.2017 13:45:00.000",1.00795,1.00847,1.00738,1.00767,2147099990.8446
"12.01.2017 14:00:00.000",1.00765,1.00871,1.0074,1.00865,2972119987.4879
"12.01.2017 14:15:00.000",1.00866,1.00908,1.00827,1.00846,2100759994.5069
"12.01.2017 14:30:00.000",1.00845,1.00936,1.00783,1.00828,3239050003.052
"12.01.2017 14:45:00.000",1.00825,1.00861,1.00714,1.00723,3322699981.6893
"12.01.2017 15:00:00.000",1.00721,1.0074,1.00575,1.00654,3864589981.0791
"12.01.2017 15:15:00.000",1.00656,1.00731,1.00592,1.00705,3224849990.8447
"12.01.2017 15:30:00.000",1.0071,1.00853,1.00668,1.00849,3482190002.4414
"12.01.2017 15:45:00.000",1.00851,1.0091,1.00709,1.00814,3581470001.2206
"12.01.2017 16:00:00.000",1.00811,1.00853,1.00703,1.00756,4000650024.4141
"12.01.2017 16:15:00.000",1.00756,1.00789,1.00694,1.00776,3271819931.0302
"12.01.2017 16:30:00.000",1.00777,1.00812,1.00699,1.00759,2926839996.3376
"12.01.2017 16:45:00.000",1.00762,1.00776,1.00622,1.00663,2419970001.2206
"12.01.2017 17:00:00.000",1.00663,1.00758,1.00642,1.00754,1974090023.0408
"12.01.2017 17:15:00.000",1.00755,1.00818,1.0075,1.00792,1423819995.8802
"12.01.2017 17:30:00.000",1.00793,1.00814,1.0072,1.00751,1440900001.5261
"12.01.2017 17:45:00.000",1.00753,1.00864,1.00753,1.00833,1548799987.7931
"12.01.2017 18:00:00.000",1.00835,1.00939,1.00803,1.00878,2579579971.3134
"12.01.2017 18:15:00.000",1.0088,1.00975,1.00875,1.00926,2336769996.6429
"12.01.2017 18:30:00.000",1.00923,1.00964,1.00863,1.00868,1904150009.1553
"12.01.2017 18:45:00.000",1.00873,1.00954,1.00862,1.00903,1770019985.1992
"12.01.2017 19:00:00.000",1.00904,1.00953,1.00877,1.00887,1705250000.0002
"12.01.2017 19:15:00.000",1.00886,1.00935,1.00863,1.00898,1286840000.1527
"12.01.2017 19:30:00.000",1.00897,1.01034,1.00896,1.01021,1904020027.1608
"12.01.2017 19:45:00.000",1.01021,1.01069,1.00977,1.01029,1973869995.1174
"12.01.2017 20:00:00.000",1.0103,1.01118,1.01011,1.01069,2069689983.3679
"12.01.2017 20:15:00.000",1.01069,1.01105,1.01038,1.01048,1115379997.2532
"12.01.2017 20:30:00.000",1.01049,1.01069,1.00996,1.01021,1148450012.2069
"12.01.2017 20:45:00.000",1.01019,1.01027,1.00995,1.00995,1107409992.218
"12.01.2017 21:00:00.000",1.00997,1.01009,1.00988,1.0099,562040008.0681
"12.01.2017 21:15:00.000",1.00989,1.01008,1.00973,1.01006,368620002.8659
"12.01.2017 21:30:00.000",1.01006,1.01024,1.01001,1.01015,529269999.5043
"12.01.2017 21:45:00.000",1.01015,1.01096,1.01014,1.01083,529890003.2043
"12.01.2017 22:00:00.000",1.01066,1.01083,1.01034,1.01056,132930000.1859
"12.01.2017 22:15:00.000",1.01055,1.011,1.01003,1.01037,302880001.0682
"12.01.2017 22:30:00.000",1.01027,1.01109,1.00985,1.01054,844370002.7467
"12.01.2017 22:45:00.000",1.01053,1.01053,1.01028,1.01052,420690000.534
"12.01.2017 23:00:00.000",1.01048,1.01061,1.01022,1.01058,1029060001.3732
"12.01.2017 23:15:00.000",1.01057,1.01108,1.01046,1.01095,339330001.3543
"12.01.2017 23:30:00.000",1.01096,1.01103,1.01043,1.01066,1159020002.3651
"12.01.2017 23:45:00.000",1.01067,1.01068,1.01033,1.01042,1125850006.1035
"13.01.2017 00:00:00.000",1.01045,1.01111,1.01019,1.01104,1511019992.8284
"13.01.2017 00:15:00.000",1.01103,1.01124,1.0105,1.01081,1195159992.218
"13.01.2017 00:30:00.000",1.01082,1.01131,1.01078,1.01097,1010889980.3161
"13.01.2017 00:45:00.000",1.01097,1.01118,1.01064,1.01103,1408159988.4033
"13.01.2017 01:00:00.000",1.01103,1.01122,1.01036,1.01037,1373830005.6457
"13.01.2017 01:15:00.000",1.01036,1.0107,1.01032,1.01046,1477329994.2016
"13.01.2017 01:30:00.000",1.01045,1.01072,1.01015,1.0104,937189995.7656
"13.01.2017 01:45:00.000",1.01041,1.01044,1.0101,1.01014,1078009990.6922
"13.01.2017 02:00:00.000",1.01014,1.01053,1.00989,1.01024,1348229999.5423
"13.01.2017 02:15:00.000",1.01025,1.01057,1.01011,1.01051,1314929995.5368
"13.01.2017 02:30:00.000",1.01051,1.01104,1.01049,1.01068,1293799987.7929
"13.01.2017 02:45:00.000",1.01069,1.01129,1.01069,1.01116,1785629993.4388
"13.01.2017 03:00:00.000",1.01118,1.01127,1.01066,1.01081,1167740016.9372
"13.01.2017 03:15:00.000",1.01082,1.01083,1.01053,1.01064,985449990.2724
"13.01.2017 03:30:00.000",1.01063,1.01102,1.01061,1.01069,1080129993.4388
"13.01.2017 03:45:00.000",1.01068,1.0109,1.01067,1.01081,762690008.1636
"13.01.2017 04:00:00.000",1.01082,1.011,1.01075,1.01087,1110370002.7468
"13.01.2017 04:15:00.000",1.01086,1.01086,1.0105,1.0107,757360012.0544
"13.01.2017 04:30:00.000",1.01071,1.01074,1.01028,1.01028,798850002.2888
"13.01.2017 04:45:00.000",1.0103,1.01046,1.01006,1.01006,787209997.1772
"13.01.2017 05:00:00.000",1.01007,1.01036,1.01003,1.01013,943569999.6949
"13.01.2017 05:15:00.000",1.01013,1.01034,1.01002,1.01024,847100011.8257
"13.01.2017 05:30:00.000",1.01025,1.01039,1.01022,1.01036,553680005.0736
"13.01.2017 05:45:00.000",1.01036,1.01046,1.00994,1.00994,771150005.3407
"13.01.2017 06:00:00.000",1.00997,1.01026,1.0092,1.00952,1676870014.1907
"13.01.2017 06:15:00.000",1.00951,1.00983,1.00942,1.00983,1373479995.7274
"13.01.2017 06:30:00.000",1.00983,1.00983,1.00924,1.00933,1117199989.3189
"13.01.2017 06:45:00.000",1.00934,1.00952,1.00865,1.0087,1045059989.9292
"13.01.2017 07:00:00.000",1.00874,1.00928,1.00812,1.00827,1649570007.3242
"13.01.2017 07:15:00.000",1.0083,1.00917,1.00814,1.00821,1367009994.5069
"13.01.2017 07:30:00.000",1.00821,1.00874,1.00797,1.00848,1783450004.5777
"13.01.2017 07:45:00.000",1.00848,1.00896,1.00822,1.00881,1750989997.8638
"13.01.2017 08:00:00.000",1.00881,1.0095,1.00738,1.00799,2486589988.7085
"13.01.2017 08:15:00.000",1.00797,1.00839,1.00773,1.00833,1768589992.5233
"13.01.2017 08:30:00.000",1.00833,1.00847,1.008,1.00816,1901789993.2861
"13.01.2017 08:45:00.000",1.00817,1.00851,1.00805,1.00848,1591249992.3703
"13.01.2017 09:00:00.000",1.00847,1.00894,1.00822,1.0083,1297120006.5612
"13.01.2017 09:15:00.000",1.0083,1.00836,1.00714,1.00745,1834109985.3516
"13.01.2017 09:30:00.000",1.00743,1.00815,1.00697,1.00815,1352879997.2535
"13.01.2017 09:45:00.000",1.00816,1.00829,1.00786,1.00803,1153170000.0761
"13.01.2017 10:00:00.000",1.00804,1.00808,1.00713,1.00767,1643979991.9128
"13.01.2017 10:15:00.000",1.00768,1.00793,1.00703,1.00732,1489919986.7248
"13.01.2017 10:30:00.000",1.00732,1.0079,1.00712,1.00772,1630139991.7604
"13.01.2017 10:45:00.000",1.00772,1.00841,1.00762,1.00806,1535849998.4742
"13.01.2017 11:00:00.000",1.00806,1.00808,1.00765,1.00784,1488789993.2862
"13.01.2017 11:15:00.000",1.00784,1.00788,1.00692,1.00751,1546359989.1662
"13.01.2017 11:30:00.000",1.00751,1.00787,1.00744,1.00784,1321140003.2042
"13.01.2017 11:45:00.000",1.00785,1.00814,1.00742,1.00806,1564170005.7984
"13.01.2017 12:00:00.000",1.00805,1.00814,1.00745,1.00754,1444439998.6268
"13.01.2017 12:15:00.000",1.00756,1.00791,1.00708,1.00787,1209770000.4579
"13.01.2017 12:30:00.000",1.00787,1.00787,1.00714,1.00729,1554669998.169
"13.01.2017 12:45:00.000",1.0073,1.00759,1.0066,1.00752,2372389999.3895
"13.01.2017 13:00:00.000",1.0075,1.0075,1.00629,1.00629,2184429969.7874
"13.01.2017 13:15:00.000",1.00628,1.00635,1.00539,1.00574,2309759998.3215
"13.01.2017 13:30:00.000",1.00576,1.00948,1.00413,1.00674,5823139984.1308
"13.01.2017 13:45:00.000",1.00675,1.00764,1.00661,1.0075,3527549980.1636
"13.01.2017 14:00:00.000",1.0075,1.00946,1.00682,1.00839,3969559967.041
"13.01.2017 14:15:00.000",1.00837,1.0097,1.00832,1.00864,3691889961.2427
"13.01.2017 14:30:00.000",1.00864,1.01051,1.00864,1.01022,4364239974.9756
